Codebook vartype=0 if continuous; 1 if categorical and 2 if ordinal,,,,,,,yellow=vars that have no relationship with re-education (weights etc.)
,storage,display,value,,,,red=vars to do with current studying 
variable,name   type,format,label,variable label,vartype,relevance,
--------,----------------,-----------,--------,-------------------------------------------------------------------------------------------------,,,
xwaveid,str7,%7s,,XW Cross wave ID,1,0,
ahhrpid,str8,%8s,,DV: Randomised person id,1,0,
ahhpno,str2,%2s,,HF Person number,1,0,
ahhstate,byte,%30.0g,AHHSTATE,HF State,1,,
xhhstrat,byte,%35.0g,XHHSTRAT,DV: Original strata,1,,
xhhraid,str3,%3s,,DV: Randomised original area id,1,0,
ahhrhid,str6,%6s,,DV: randomised household id,1,0,
ahhraid,str3,%3s,,DV: Randomised original area id,1,0,
ahhhqivw,str10,%10s,,HQ Date of interview - Household Questionnaire,2,,
ahhcalls,byte,%30.0g,ANUM,HF Total contacts,0,0,
ahhresp,byte,%55.0g,AHHRESP,HF Final household response status,1,0,
ahhpers,byte,%30.0g,ANUM,HF Number of in-scope persons in household,0,,
ahgxid1,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0001,1,0,
ahgxid2,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0002,1,0,
ahgxid3,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0003,1,0,
ahgxid4,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0004,1,0,
ahgxid5,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0005,1,0,
ahgxid6,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0006,1,0,
ahgxid7,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0007,1,0,
ahgxid8,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0008,1,0,
ahgxid9,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0009,1,0,
ahgxid10,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0010,1,0,
ahgxid11,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0011,1,0,
ahgxid12,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0012,1,0,
ahgxid13,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0013,1,0,
ahgxid14,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0014,1,0,
ahgxid15,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0015,1,0,
ahgxid16,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0016,1,0,
ahgxid17,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0017,1,0,
ahgxid18,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0018,1,0,
ahgxid19,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0019,1,0,
ahgxid20,str7,%7s,,HF1 Cross wave ID (xwaveid) - 0020,1,0,
ahgage1,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 01,0,,
ahgage2,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 02,0,,
ahgage3,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 03,0,,
ahgage4,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 04,0,,
ahgage5,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 05,0,,
ahgage6,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 06,0,,
ahgage7,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 07,0,,
ahgage8,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 08,0,,
ahgage9,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 09,0,,
ahgage10,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 10,0,,
ahgage11,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 11,0,,
ahgage12,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 12,0,,
ahgage13,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 13,0,,
ahgage14,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 14,0,,
ahgage15,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 15,0,,
ahgage16,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 16,0,,
ahgage17,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 17,0,,
ahgage18,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 18,0,,
